,"Meal, Inexpensive Restaurant ","Meal for 2 People, Mid-range Restaurant, Three-course Meal, Inexpensive Restaurant",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (1 pint draught),Imported Beer (12 oz small bottle),Cappuccino (regular),Coke/Pepsi (12 oz small bottle),Water (12 oz small bottle),"Milk (regular), (1 gallon)",Loaf of Fresh White Bread (1 lb),"Rice (white), (1 lb) ",Eggs (regular) (12),Local Cheese (1 lb),"Chicken Breasts (Boneless, Skinless), (1 lb)",Beef Round (1 lb) (or Equivalent Back Leg Red Meat),Apples (1 lb),Banana (1 lb),Oranges (1 lb),Tomato (1 lb),Potato (1 lb),Onion (1 lb),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (12 oz small bottle),Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult ",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ","International Primary School, Yearly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...) ",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,"Salaries And Financing”,“Average Monthly Net Salary (After Tax)","Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
Atlanta,15.00 ,50.00 ,7.00 ,5.00 ,6.00 ,3.94 ,1.79 ,1.60 ,3.14 ,2.47 ,1.74 ,2.01 ,4.83 ,4.01 ,5.90 ,2.32 ,0.73 ,1.78 ,1.62 ,1.19 ,1.52 ,1.25 ,1.67 ,14.88 ,1.83 ,3.41 ,5.50 ,2.50 ,95.00 ,3.75 ,3.00 ,25.00 ,2.71 ,"23,000.00 ","20,509.52 ",158.89 ,0.13 ,64.21 ,36.40 ,14.89 ,12.50 ,902.00 ,"18,083.33 ",41.29 ,37.75 ,73.26 ,91.91 ,"1,474.70 ","1,053.33 ","2,684.62 ","1,707.14 ",300.04 ,129.82 ,"3,746.22 ",4.27
Boston,15.00 ,69.00 ,8.00 ,6.00 ,7.21 ,3.88 ,1.86 ,1.49 ,3.20 ,2.49 ,1.87 ,2.84 ,5.43 ,5.82 ,7.31 ,2.21 ,0.72 ,3.36 ,2.26 ,1.94 ,1.60 ,1.89 ,1.65 ,15.00 ,2.03 ,2.98 ,11.00 ,2.50 ,84.50 ,2.60 ,3.60 ,28.00 ,2.81 ,"22,000.00 ","19,779.00 ",154.08 ,0.09 ,63.94 ,52.96 ,16.14 ,14.00 ,"1,777.59 ","24,903.75 ",47.55 ,33.16 ,77.68 ,95.19 ,"2,367.32 ","1,756.95 ","4,048.29 ","2,765.18 ",922.44 ,393.84 ,"4,218.65 ",4.28
Chicago,15.00 ,65.00 ,7.00 ,5.00 ,6.00 ,4.09 ,1.82 ,1.61 ,2.75 ,2.36 ,1.83 ,2.13 ,5.40 ,4.68 ,5.50 ,2.10 ,0.81 ,1.86 ,1.49 ,0.96 ,0.96 ,1.39 ,1.95 ,12.00 ,1.80 ,2.19 ,12.50 ,2.50 ,105.00 ,3.25 ,2.25 ,24.00 ,3.16 ,"20,910.00 ","20,672.92 ",126.15 ,0.14 ,60.77 ,49.44 ,25.75 ,12.00 ,"1,049.52 ","15,540.00 ",51.52 ,37.16 ,78.20 ,113.53 ,"1,741.03 ","1,125.29 ","3,257.66 ","1,982.69 ",338.02 ,183.54 ,"3,860.47 ",4.32
Houston,15.00 ,65.00 ,7.29 ,5.00 ,6.00 ,4.23 ,1.80 ,1.45 ,2.96 ,2.00 ,1.29 ,2.16 ,4.60 ,3.33 ,4.58 ,1.34 ,0.52 ,1.34 ,1.00 ,0.88 ,0.71 ,1.15 ,1.51 ,13.00 ,2.25 ,2.73 ,7.00 ,1.25 ,50.00 ,2.75 ,2.50 ,24.00 ,2.49 ,"20,000.00 ","19,339.32 ",133.98 ,0.13 ,58.89 ,36.43 ,12.50 ,10.00 ,893.04 ,"21,647.06 ",39.77 ,34.63 ,69.03 ,87.91 ,"1,341.52 ",883.06 ,"2,542.16 ","1,637.62 ",191.79 ,100.56 ,"3,498.15 ",4.25
Los Angeles,15.00 ,70.00 ,7.50 ,6.00 ,7.00 ,4.42 ,2.32 ,1.79 ,3.99 ,2.77 ,1.93 ,3.23 ,4.63 ,4.67 ,5.93 ,2.01 ,0.91 ,1.47 ,1.66 ,1.33 ,1.05 ,1.34 ,1.91 ,12.00 ,2.25 ,2.78 ,8.50 ,1.75 ,100.00 ,3.00 ,2.70 ,29.19 ,3.66 ,"22,000.00 ","20,275.45 ",145.23 ,0.13 ,58.20 ,41.45 ,12.73 ,15.00 ,"1,141.54 ","21,658.33 ",50.60 ,36.89 ,79.47 ,107.57 ,"2,133.97 ","1,633.41 ","3,860.91 ","2,922.74 ",690.17 ,417.08 ,"3,824.32 ",4.37
New York,20.00 ,80.00 ,9.00 ,7.00 ,8.00 ,4.38 ,2.07 ,1.69 ,4.43 ,3.46 ,2.95 ,3.55 ,7.19 ,5.92 ,6.85 ,2.82 ,1.07 ,2.63 ,2.67 ,1.51 ,1.43 ,2.32 ,2.38 ,15.00 ,2.23 ,2.83 ,14.00 ,2.75 ,121.00 ,2.50 ,3.25 ,30.00 ,3.05 ,"22,000.00 ","20,911.95 ",143.03 ,0.07 ,62.49 ,82.97 ,36.78 ,16.00 ,"2,332.23 ","38,047.62 ",53.76 ,39.68 ,87.87 ,128.32 ,"3,122.07 ","2,003.74 ","6,468.45 ","3,511.42 ","1,279.28 ",574.65 ,"4,546.67 ",4.35
Philadelphia,15.00 ,60.00 ,7.00 ,5.00 ,6.00 ,3.92 ,1.83 ,1.22 ,4.10 ,2.98 ,1.99 ,2.69 ,6.31 ,4.45 ,7.52 ,3.04 ,0.77 ,2.14 ,2.23 ,1.65 ,2.17 ,2.01 ,2.02 ,15.00 ,2.35 ,2.73 ,10.00 ,2.50 ,96.00 ,2.95 ,4.00 ,24.00 ,2.99 ,"22,000.00 ","20,695.50 ",146.33 ,0.10 ,66.78 ,30.95 ,36.10 ,12.00 ,"1,045.94 ","22,650.00 ",39.58 ,30.43 ,72.69 ,88.17 ,"1,577.48 ","1,026.79 ","2,844.05 ","1,608.25 ",303.66 ,105.74 ,"3,108.73 ",4.31
Seattle,15.00 ,62.50 ,9.00 ,6.00 ,6.00 ,4.27 ,1.93 ,1.53 ,3.18 ,2.90 ,1.89 ,2.97 ,7.48 ,5.58 ,6.60 ,2.40 ,0.78 ,1.90 ,2.00 ,1.15 ,1.16 ,1.78 ,2.01 ,15.00 ,2.03 ,2.43 ,10.00 ,2.75 ,99.00 ,2.60 ,2.70 ,30.00 ,3.45 ,"23,000.00 ","21,852.25 ",154.92 ,0.11 ,64.35 ,52.12 ,28.09 ,14.00 ,"1,456.06 ","21,466.67 ",49.49 ,43.23 ,82.16 ,114.40 ,"1,981.92 ","1,521.60 ","3,599.90 ","2,562.26 ",654.13 ,402.16 ,"4,631.83 ",4.36
San Francisco,15.00 ,80.00 ,8.00 ,6.00 ,7.00 ,4.45 ,2.27 ,1.93 ,4.25 ,3.44 ,2.11 ,3.34 ,11.05 ,6.05 ,8.21 ,1.96 ,1.16 ,1.47 ,2.28 ,1.61 ,1.26 ,1.71 ,1.72 ,15.00 ,1.86 ,2.71 ,9.75 ,2.75 ,78.00 ,3.50 ,3.10 ,33.00 ,3.78 ,"22,040.00 ","21,129.88 ",116.09 ,0.09 ,65.81 ,80.79 ,19.00 ,14.00 ,"2,173.68 ","26,190.00 ",60.67 ,42.05 ,86.29 ,136.29 ,"3,366.36 ","2,736.89 ","5,743.88 ","4,356.71 ","1,163.16 ",893.36 ,"6,145.51 ",4.32
Washington DC,16.00 ,72.50 ,8.00 ,6.00 ,8.00 ,4.21 ,1.95 ,1.70 ,3.42 ,3.28 ,2.02 ,3.18 ,5.10 ,6.58 ,6.65 ,3.18 ,0.94 ,3.36 ,3.11 ,1.94 ,1.90 ,2.66 ,2.33 ,15.00 ,3.17 ,4.67 ,8.80 ,2.50 ,117.00 ,3.50 ,2.33 ,25.00 ,2.90 ,"22,500.00 ","19,780.92 ",128.27 ,0.10 ,64.32 ,57.20 ,7.62 ,14.00 ,"1,566.48 ","30,555.56 ",52.07 ,36.45 ,78.46 ,106.96 ,"2,210.95 ","1,668.57 ","3,995.65 ","2,863.50 ",558.93 ,277.61 ,"4,806.44 ",4.27
